gene,transcript,contrast,estimate,SE,df,t.ratio,p.value.corrected
FBgn0052544,FBtr0333158,down - up,-0.181457462,0.124479654,268,-1.457727876,0.691440711
FBgn0052544,FBtr0333158,control - up,0.055619962,0.124552914,268,0.446556887,0.99774582
FBgn0030973,FBtr0074647,down - control,-0.015446308,0.45237003,268,-0.034145295,0.999999993
FBgn0030973,FBtr0074647,down - up,-0.543486287,0.457612361,268,-1.187656482,0.842522628
FBgn0030973,FBtr0074647,control - up,-0.528039979,0.459802131,268,-1.148406984,0.86052229
FBgn0030973,FBtr0342877,down - control,-0.069405246,0.410356576,268,-0.169133992,0.999980663
FBgn0030973,FBtr0342877,down - up,-0.170470361,0.415111654,268,-0.410661467,0.998491719
FBgn0030973,FBtr0342877,control - up,-0.101065115,0.416363914,268,-0.242732648,0.999884272
FBgn0030976,FBtr0074649,down - control,-0.137152534,0.054951349,269,-2.495890195,0.128949297
FBgn0030976,FBtr0074649,down - up,-0.006119632,0.054980712,269,-0.111305067,0.999997591
FBgn0030976,FBtr0074649,control - up,0.131032902,0.055120106,269,2.377225162,0.167996127
FBgn0030976,FBtr0113004,down - control,-0.012070519,0.054790886,269,-0.220301591,0.999928318
FBgn0030976,FBtr0113004,down - up,-0.007579856,0.054768263,269,-0.138398701,0.999992868
FBgn0030976,FBtr0113004,control - up,0.004490663,0.054953686,269,0.081717228,0.999999485
FBgn0030974,FBtr0074652,down - control,-0.028892168,0.12942209,404,-0.223239852,0.999999812
FBgn0030974,FBtr0074652,down - up,0.012995746,0.129434716,404,0.100403868,1
FBgn0030974,FBtr0074652,control - up,0.041887914,0.130105825,404,0.321952643,0.999996639
FBgn0030974,FBtr0342879,down - control,0.57935953,0.140350238,404,4.127955439,0.00145853
FBgn0030974,FBtr0342879,down - up,0.302946032,0.138672577,404,2.184613841,0.41772714
FBgn0030974,FBtr0342879,control - up,-0.276413498,0.141939151,404,-1.947408422,0.581108625
FBgn0030974,FBtr0342880,down - control,-0.146672441,0.130755327,404,-1.121732046,0.97074507
FBgn0030974,FBtr0342880,down - up,-0.11383693,0.130815779,404,-0.870207942,0.994346932
FBgn0030974,FBtr0342880,control - up,0.032835511,0.13129651,404,0.250086698,0.999999539
FBgn0030968,FBtr0074654,down - control,0.421976473,0.150788357,268,2.798468541,0.060763582
FBgn0030968,FBtr0074654,down - up,0.200908921,0.15079785,268,1.332306277,0.766813035
FBgn0030968,FBtr0074654,control - up,-0.221067551,0.15105956,268,-1.463446285,0.687842425
FBgn0030968,FBtr0310441,down - control,0.477106773,0.150923451,268,3.161250097,0.021439554
FBgn0030968,FBtr0310441,down - up,0.322501716,0.150916949,268,2.136948288,0.271563774
FBgn0030968,FBtr0310441,control - up,-0.154605057,0.151315356,268,-1.021740699,0.910386641
FBgn0001090,FBtr0074656,down - control,0.081199915,0.099694708,269,0.814485712,0.964709253
FBgn0001090,FBtr0074656,down - up,0.034682798,0.099544616,269,0.348414607,0.999319215
FBgn0001090,FBtr0074656,control - up,-0.046517117,0.099783242,269,-0.466181656,0.997232879
FBgn0001090,FBtr0074657,down - control,-0.119726001,0.101443607,269,-1.180222239,0.846022753
FBgn0001090,FBtr0074657,down - up,0.078645543,0.1015265,269,0.774630693,0.971585025
FBgn0001090,FBtr0074657,control - up,0.198371544,0.100887734,269,1.966260276,0.364566112
FBgn0030992,FBtr0074668,down - control,0.160621598,0.145853085,268,1.10125609,0.880575207
FBgn0030992,FBtr0074668,down - up,-0.123947402,0.142303411,268,-0.871007948,0.953097599
FBgn0030992,FBtr0074668,control - up,-0.284569,0.14392065,268,-1.977263165,0.35814583
FBgn0030992,FBtr0342978,down - control,-0.077980402,0.16556868,268,-0.470985227,0.997094509
FBgn0030992,FBtr0342978,down - up,-0.106753222,0.165427413,268,-0.645317603,0.987400118
FBgn0030992,FBtr0342978,control - up,-0.028772819,0.162235028,268,-0.177352694,0.999975525
FBgn0031001,FBtr0074674,down - control,0.293892599,0.325343514,268,0.903330133,0.945418032
FBgn0031001,FBtr0074674,down - up,0.143708042,0.323109673,268,0.444765521,0.997788705
FBgn0031001,FBtr0074674,control - up,-0.150184558,0.325985773,268,-0.460708933,0.997384041
FBgn0031001,FBtr0332392,down - control,0.633522778,0.30435182,268,2.081547525,0.300097238
FBgn0031001,FBtr0332392,down - up,0.470075446,0.303429294,268,1.549209176,0.632687751
FBgn0031001,FBtr0332392,control - up,-0.163447333,0.306454254,268,-0.533349858,0.994774322
FBgn0031005,FBtr0074676,down - control,-0.02710235,0.041841358,268,-0.647740678,0.987183813
FBgn0031005,FBtr0074676,down - up,-0.013987802,0.041878743,268,-0.33400721,0.999445728
FBgn0031005,FBtr0074676,control - up,0.013114547,0.04186845,268,0.313232213,0.999594907
FBgn0031005,FBtr0332533,down - control,0.010520183,0.049107937,268,0.21422571,0.999937577
FBgn0031005,FBtr0332533,down - up,0.07659908,0.049634343,268,1.54326775,0.636568079
FBgn0031005,FBtr0332533,control - up,0.066078898,0.049346179,268,1.339088428,0.762938772
FBgn0259834,FBtr0074682,down - control,0.74464711,0.308411908,269,2.414456416,0.154912115
FBgn0259834,FBtr0074682,down - up,0.515581087,0.308732213,269,1.669994468,0.552865299
FBgn0259834,FBtr0074682,control - up,-0.229066023,0.310561759,269,-0.737586056,0.97707467
FBgn0259834,FBtr0344324,down - control,0.013225974,0.299646184,269,0.044138635,0.999999976
FBgn0259834,FBtr0344324,down - up,0.141190381,0.300125149,269,0.470438355,0.997110636
FBgn0259834,FBtr0344324,control - up,0.127964408,0.300178102,269,0.426294946,0.998195235
FBgn0031012,FBtr0074683,down - control,0.039343286,0.362714573,268,0.108468996,0.999997882
FBgn0031012,FBtr0074683,down - up,-0.555226025,0.362034757,268,-1.533626299,0.642849349
FBgn0031012,FBtr0074683,control - up,-0.59456931,0.362082115,268,-1.642084174,0.571392388
FBgn0031012,FBtr0343320,down - control,-0.002724829,0.358802701,268,-0.007594228,1
FBgn0031012,FBtr0343320,down - up,-0.440973082,0.358893055,268,-1.228703302,0.822479245
FBgn0031012,FBtr0343320,control - up,-0.438248252,0.35895924,268,-1.220885836,0.826389893
FBgn0031011,FBtr0074684,down - control,-0.152236097,0.268978912,268,-0.565977814,0.993106128
FBgn0031011,FBtr0074684,down - up,-0.12283408,0.267662177,268,-0.458914598,0.997432229
FBgn0031011,FBtr0074684,control - up,0.029402016,0.27001243,268,0.108891344,0.999997841
FBgn0031011,FBtr0301226,down - control,-0.48400598,0.315117515,268,-1.53595391,0.641334774
FBgn0031011,FBtr0301226,down - up,0.490624946,0.317915798,268,1.543254376,0.636576805
FBgn0031011,FBtr0301226,control - up,0.974630926,0.320769614,268,3.038414121,0.031010002
FBgn0031006,FBtr0074689,down - control,-0.655416856,0.272179163,404,-2.408034653,0.282345019
FBgn0031006,FBtr0074689,down - up,-0.071977881,0.272746564,404,-0.26390023,0.999999296
FBgn0031006,FBtr0074689,control - up,0.583438975,0.273223086,404,2.135394129,0.450628709
FBgn0031006,FBtr0343634,down - control,0.152381752,0.272544093,404,0.559108621,0.999765714
FBgn0031006,FBtr0343634,down - up,-0.060530181,0.272313931,404,-0.222280883,0.999999819
FBgn0031006,FBtr0343634,control - up,-0.212911933,0.273798421,404,-0.777622941,0.997406422
FBgn0031006,FBtr0343635,down - control,-0.033437803,0.27027705,404,-0.123716769,0.999999998
FBgn0031006,FBtr0343635,down - up,0.028698202,0.270301837,404,0.106170946,0.999999999
FBgn0031006,FBtr0343635,control - up,0.062136005,0.271721479,404,0.228675353,0.999999773
FBgn0030997,FBtr0074695,down - control,-0.161478414,0.144766182,269,-1.115442931,0.874726935
FBgn0030997,FBtr0074695,down - up,-0.167655445,0.144764152,269,-1.158128182,0.856174859
FBgn0030997,FBtr0074695,control - up,-0.00617703,0.145306758,269,-0.042510276,0.99999998
FBgn0030997,FBtr0308082,down - control,-0.147995247,0.152371239,269,-0.971280721,0.926671126
FBgn0030997,FBtr0308082,down - up,-0.279525107,0.150470126,269,-1.857678428,0.430701946
FBgn0030997,FBtr0308082,control - up,-0.131529861,0.152617605,269,-0.861826265,0.955139636
FBgn0030990,FBtr0074697,down - control,0.081304144,0.024830397,269,3.274379503,0.015039318
FBgn0030990,FBtr0074697,down - up,0.062723704,0.024836442,269,2.525470644,0.120390201
FBgn0030990,FBtr0074697,control - up,-0.01858044,0.024956729,269,-0.74450621,0.97611217
FBgn0030990,FBtr0343313,down - control,-0.020165191,0.031601187,269,-0.638114981,0.988027652
FBgn0030990,FBtr0343313,down - up,0.008061947,0.031762739,269,0.25381775,0.999855775
FBgn0030990,FBtr0343313,control - up,0.028227138,0.031496348,269,0.896203522,0.947179716
FBgn0027621,FBtr0074713,down - control,0.193758531,0.137153813,1084,1.412709766,0.999429655
FBgn0027621,FBtr0074713,down - up,0.151607834,0.136854102,1084,1.107806284,0.999990874
FBgn0027621,FBtr0074713,control - up,-0.042150697,0.137820265,1084,-0.305838166,1
FBgn0027621,FBtr0074714,down - control,-0.321925806,0.1389384,1084,-2.317039831,0.804225532
FBgn0027621,FBtr0074714,down - up,-0.214473765,0.138981975,1084,-1.543176843,0.99784435
FBgn0027621,FBtr0074714,control - up,0.107452041,0.139371586,1084,0.770975234,0.999999992
FBgn0027621,FBtr0074715,down - control,-0.411202743,0.139597073,1084,-2.945640145,0.331974004
FBgn0027621,FBtr0074715,down - up,0.056758538,0.140376293,1084,0.404331367,1
FBgn0027621,FBtr0074715,control - up,0.467961281,0.14057278,1084,3.328960849,0.13126122
FBgn0027621,FBtr0074717,down - control,-0.203781355,0.137355547,1084,-1.483604848,0.998792544
FBgn0027621,FBtr0074717,down - up,-0.05151334,0.13737869,1084,-0.374973295,1
FBgn0027621,FBtr0074717,control - up,0.152268015,0.137940239,1084,1.10386945,0.999991448
FBgn0027621,FBtr0074718,down - control,-0.135678151,0.13715595,1084,-0.989225407,0.9999989
FBgn0027621,FBtr0074718,down - up,-0.058071515,0.137266184,1084,-0.423057695,1
FBgn0027621,FBtr0074718,control - up,0.077606635,0.137605538,1084,0.563979012,1
FBgn0027621,FBtr0074719,down - control,-0.310630056,0.137048983,1084,-2.266562287,0.834349212
FBgn0027621,FBtr0074719,down - up,-0.074335902,0.137173137,1084,-0.541912971,1
FBgn0027621,FBtr0074719,control - up,0.236294154,0.137619452,1084,1.717011302,0.990744127
FBgn0027621,FBtr0307192,down - control,-0.095067536,0.138960373,1084,-0.684134147,0.999999999
FBgn0027621,FBtr0307192,down - up,0.068407146,0.139146871,1084,0.491618283,1
FBgn0027621,FBtr0307192,control - up,0.163474682,0.139492042,1084,1.171928377,0.999974918
FBgn0027621,FBtr0339440,down - control,0.033941612,0.137355723,1084,0.247107377,1
FBgn0027621,FBtr0339440,down - up,0.095290514,0.137468641,1084,0.693180011,0.999999999
FBgn0027621,FBtr0339440,control - up,0.061348901,0.137897018,1084,0.444889254,1
FBgn0031023,FBtr0074721,down - control,-0.234170013,0.19395537,404,-1.207339675,0.954660812
FBgn0031023,FBtr0074721,down - up,-0.011438746,0.194283428,404,-0.058876589,1
FBgn0031023,FBtr0074721,control - up,0.222731268,0.194836056,404,1.14317274,0.967190365
FBgn0031023,FBtr0307195,down - control,-0.261730333,0.191517216,404,-1.366615173,0.909670268
FBgn0031023,FBtr0307195,down - up,-0.009888345,0.191577775,404,-0.051615303,1
FBgn0031023,FBtr0307195,control - up,0.251841988,0.192513824,404,1.308176121,0.92862676
FBgn0031023,FBtr0307196,down - control,0.010116564,0.191734482,404,0.052763402,1
FBgn0031023,FBtr0307196,down - up,-0.240584001,0.191673504,404,-1.2551761,0.943327222
FBgn0031023,FBtr0307196,control - up,-0.250700565,0.192662891,404,-1.301239503,0.930683272
FBgn0031037,FBtr0074733,down - control,-0.156463224,0.058014771,541,-2.696954973,0.230534609
FBgn0031037,FBtr0074733,down - up,-0.084508858,0.058007149,541,-1.456869715,0.95121921
FBgn0031037,FBtr0074733,control - up,0.071954366,0.058203737,541,1.23624994,0.985831206
FBgn0031037,FBtr0074734,down - control,0.07831498,0.05827144,541,1.3439685,0.972877422
FBgn0031037,FBtr0074734,down - up,0.122176978,0.058287976,541,2.096092306,0.62583909
FBgn0031037,FBtr0074734,control - up,0.043861999,0.058478402,541,0.750054669,0.999845267
FBgn0031037,FBtr0307161,down - control,0.134503053,0.058001432,541,2.318960892,0.464303735
FBgn0031037,FBtr0307161,down - up,0.004372626,0.057988007,541,0.075405689,1
FBgn0031037,FBtr0307161,control - up,-0.130130428,0.058201174,541,-2.235872907,0.524194514
FBgn0031037,FBtr0345918,down - control,0.163897902,0.0583425,541,2.809236858,0.178978084
FBgn0031037,FBtr0345918,down - up,0.129666741,0.058311206,541,2.223701919,0.53305961
FBgn0031037,FBtr0345918,control - up,-0.034231161,0.058545566,541,-0.584692629,0.999987378
FBgn0031047,FBtr0074743,down - control,-0.181505344,0.057346286,268,-3.165075815,0.021188985
FBgn0031047,FBtr0074743,down - up,0.004688064,0.057427769,268,0.081634095,0.999999487
FBgn0031047,FBtr0074743,control - up,0.186193408,0.057627589,268,3.23097688,0.01726242
FBgn0031047,FBtr0074744,down - control,0.233786886,0.056782453,268,4.117238225,0.000720918
FBgn0031047,FBtr0074744,down - up,0.027504892,0.056760289,268,0.484579846,0.996674386
FBgn0031047,FBtr0074744,control - up,-0.206281994,0.057080181,268,-3.613898752,0.004803017
FBgn0031049,FBtr0074745,down - control,0.108559457,0.204837405,405,0.52997868,0.999843315
FBgn0031049,FBtr0074745,down - up,0.076561621,0.20483751,405,0.373767583,0.999989236
FBgn0031049,FBtr0074745,control - up,-0.031997836,0.205936282,405,-0.155377361,0.999999989
FBgn0031049,FBtr0340610,down - control,0.090174468,0.20491178,405,0.44006483,0.999961977
FBgn0031049,FBtr0340610,down - up,0.085940517,0.204913708,405,0.419398573,0.999973743
FBgn0031049,FBtr0340610,control - up,-0.004233951,0.206012404,405,-0.020551922,1
FBgn0031049,FBtr0344986,down - control,0.323226467,0.205192341,405,1.575236509,0.817856165
FBgn0031049,FBtr0344986,down - up,0.072899166,0.205147505,405,0.355350002,0.999992736
FBgn0031049,FBtr0344986,control - up,-0.250327301,0.206295372,405,-1.213441183,0.953314687
FBgn0031052,FBtr0074746,down - control,-0.031764537,0.166991182,269,-0.190216852,0.999965359
FBgn0031052,FBtr0074746,down - up,-0.101030528,0.166037517,269,-0.608480117,0.990367678
FBgn0031052,FBtr0074746,control - up,-0.069265991,0.16642038,269,-0.416210989,0.998391217
FBgn0031052,FBtr0345016,down - control,0.114507419,0.155028234,269,0.738622998,0.976932242
FBgn0031052,FBtr0345016,down - up,0.007876175,0.15499545,269,0.050815527,0.999999952
FBgn0031052,FBtr0345016,control - up,-0.106631244,0.155834419,269,-0.684259896,0.983583316
FBgn0004057,FBtr0074748,down - control,0.022601303,0.103449927,404,0.218475776,0.999999842
FBgn0004057,FBtr0074748,down - up,0.050057512,0.103421786,404,0.484013226,0.99992123
FBgn0004057,FBtr0074748,control - up,0.027456209,0.103694775,404,0.264779101,0.999999277
FBgn0004057,FBtr0074749,down - control,0.000502258,0.103953006,404,0.004831584,1
FBgn0004057,FBtr0074749,down - up,0.179213111,0.10414174,404,1.720857657,0.733429919
FBgn0004057,FBtr0074749,control - up,0.178710853,0.104387737,404,1.711990882,0.738963324
FBgn0004057,FBtr0340611,down - control,0.066220663,0.103258983,404,0.641306557,0.999351967
FBgn0004057,FBtr0340611,down - up,-0.076622515,0.103231042,404,-0.742242971,0.998134743
FBgn0004057,FBtr0340611,control - up,-0.142843178,0.103412172,404,-1.381299468,0.90444194
FBgn0031059,FBtr0074753,down - control,0.038944859,0.086047918,268,0.452595018,0.997596526
FBgn0031059,FBtr0074753,down - up,-0.020051113,0.086028105,268,-0.23307631,0.999905286
FBgn0031059,FBtr0074753,control - up,-0.058995972,0.086162991,268,-0.684701996,0.983535077
FBgn0031059,FBtr0335023,down - control,0.022089753,0.089106264,268,0.247903482,0.999871592
FBgn0031059,FBtr0335023,down - up,-0.075904978,0.088976262,268,-0.853092454,0.957023057
FBgn0031059,FBtr0335023,control - up,-0.097994731,0.088984556,268,-1.101255495,0.880575448
FBgn0086384,FBtr0074754,down - control,0.064392499,0.064834665,269,0.993180106,0.919854874
FBgn0086384,FBtr0074754,down - up,0.000374339,0.064821116,269,0.00577496,1
FBgn0086384,FBtr0074754,control - up,-0.06401816,0.064938674,269,-0.98582487,0.922186885
FBgn0086384,FBtr0345992,down - control,0.137638811,0.069919118,269,1.968543299,0.363227366
FBgn0086384,FBtr0345992,down - up,0.270088346,0.070384419,269,3.837331487,0.002128824
FBgn0086384,FBtr0345992,control - up,0.132449535,0.070479005,269,1.879276452,0.417193339
FBgn0031053,FBtr0074758,down - control,-0.102116291,0.204999048,404,-0.498130562,0.999901977
FBgn0031053,FBtr0074758,down - up,-0.003202321,0.205190033,404,-0.015606609,1
FBgn0031053,FBtr0074758,control - up,0.09891397,0.205971318,404,0.480231769,0.9999258
FBgn0031053,FBtr0332890,down - control,-0.165036462,0.206295198,404,-0.800001474,0.996835646
FBgn0031053,FBtr0332890,down - up,-0.168665677,0.206350619,404,-0.817374221,0.996325077
FBgn0031053,FBtr0332890,control - up,-0.003629214,0.206969449,404,-0.017535024,1
FBgn0031053,FBtr0332891,down - control,0.354379637,0.204569038,404,1.732322935,0.726209914
FBgn0031053,FBtr0332891,down - up,0.123576214,0.204330478,404,0.604786006,0.999579408
FBgn0031053,FBtr0332891,control - up,-0.230803423,0.205667574,404,-1.122215907,0.970668147
FBgn0031050,FBtr0074760,down - control,-0.038137271,0.082725159,268,-0.46101176,0.99737584
FBgn0031050,FBtr0074760,down - up,-0.026222187,0.082731329,268,-0.316955954,0.999570815
FBgn0031050,FBtr0074760,control - up,0.011915084,0.083155166,268,0.143287358,0.999991523
FBgn0031050,FBtr0345991,down - control,0.073838587,0.09122979,268,0.809369258,0.965649654
FBgn0031050,FBtr0345991,down - up,-0.007961033,0.091120299,268,-0.087368381,0.99999928
FBgn0031050,FBtr0345991,control - up,-0.08179962,0.091550582,268,-0.893490991,0.947838359
FBgn0031043,FBtr0074763,down - control,0.052736232,0.106960143,268,0.493045644,0.9963902
FBgn0031043,FBtr0074763,down - up,0.040806694,0.106969696,268,0.381479016,0.998943109
FBgn0031043,FBtr0074763,control - up,-0.011929538,0.107049373,268,-0.111439589,0.999997577
FBgn0031043,FBtr0332482,down - control,-0.077977925,0.108178325,268,-0.720827625,0.979289467
FBgn0031043,FBtr0332482,down - up,-0.164949396,0.108143395,268,-1.52528405,0.64826758
FBgn0031043,FBtr0332482,control - up,-0.08697147,0.108109191,268,-0.804478045,0.966533195
FBgn0031036,FBtr0074768,down - control,0.118170295,0.218919835,268,0.539787976,0.994472403
FBgn0031036,FBtr0074768,down - up,-0.060966009,0.218880164,268,-0.278536016,0.999772153
FBgn0031036,FBtr0074768,control - up,-0.179136303,0.21897262,268,-0.818076264,0.96403698
FBgn0031036,FBtr0307162,down - control,0.062053201,0.219118882,268,0.283194222,0.999752817
FBgn0031036,FBtr0307162,down - up,-0.125166147,0.219115239,268,-0.571234334,0.992803784
FBgn0031036,FBtr0307162,control - up,-0.187219349,0.219213002,268,-0.854052208,0.956818639
FBgn0031030,FBtr0074773,down - control,-0.1135588,0.084654652,540,-1.341436029,0.973259369
FBgn0031030,FBtr0074773,down - up,-0.05524839,0.084708616,540,-0.652216888,0.999961566
FBgn0031030,FBtr0074773,control - up,0.05831041,0.084861641,540,0.687123298,0.99993509
FBgn0031030,FBtr0303999,down - control,-0.039136921,0.083738755,540,-0.467369272,0.999998774
FBgn0031030,FBtr0303999,down - up,-0.019484588,0.083747046,540,-0.232660002,0.999999999
FBgn0031030,FBtr0303999,control - up,0.019652333,0.084007631,540,0.233935096,0.999999999
FBgn0031030,FBtr0304000,down - control,-0.1672126,0.084209998,540,-1.985662075,0.70312982
FBgn0031030,FBtr0304000,down - up,-0.093244049,0.08427566,540,-1.106417311,0.994348768
FBgn0031030,FBtr0304000,control - up,0.073968551,0.084430951,540,0.876083361,0.999309968
FBgn0031030,FBtr0336692,down - control,-0.153035588,0.085435381,540,-1.791243704,0.822377838
FBgn0031030,FBtr0336692,down - up,-0.057173846,0.085559483,540,-0.668235053,0.99995092
FBgn0031030,FBtr0336692,control - up,0.095861743,0.085606343,540,1.119797197,0.993739236
FBgn0026430,FBtr0074775,down - control,-0.073788905,0.227682508,812,-0.324086842,1
FBgn0026430,FBtr0074775,down - up,-0.031974023,0.227477597,812,-0.140558996,1
FBgn0026430,FBtr0074775,control - up,0.041814882,0.22813954,812,0.183286432,1
FBgn0026430,FBtr0074776,down - control,0.051326526,0.224339271,812,0.228789752,1
FBgn0026430,FBtr0074776,down - up,-0.107752233,0.224258389,812,-0.480482509,0.999999999
FBgn0026430,FBtr0074776,control - up,-0.159078759,0.225418889,812,-0.705702883,0.999999668
FBgn0026430,FBtr0074777,down - control,-0.02214271,0.224417155,812,-0.098667636,1
FBgn0026430,FBtr0074777,down - up,-0.100613867,0.224349224,812,-0.448469868,1
FBgn0026430,FBtr0074777,control - up,-0.078471156,0.225419108,812,-0.348112266,1
FBgn0026430,FBtr0301307,down - control,-0.033195178,0.225196058,812,-0.147405679,1
FBgn0026430,FBtr0301307,down - up,0.092857411,0.22545381,812,0.411868891,1
FBgn0026430,FBtr0301307,control - up,0.126052588,0.226488018,812,0.556553012,0.999999992
FBgn0026430,FBtr0301308,down - control,-0.071696456,0.229164304,812,-0.312860489,1
FBgn0026430,FBtr0301308,down - up,-0.055272393,0.228952653,812,-0.241414076,1
FBgn0026430,FBtr0301308,control - up,0.016424063,0.229415684,812,0.071590846,1
FBgn0026430,FBtr0343590,down - control,0.074058188,0.232414919,812,0.318646447,1
FBgn0026430,FBtr0343590,down - up,0.39812708,0.23426844,812,1.699448205,0.966492082
FBgn0026430,FBtr0343590,control - up,0.324068892,0.23548859,812,1.376155387,0.996413985
FBgn0020261,FBtr0074784,down - control,0.019319057,0.032524766,268,0.593979901,0.991379281
FBgn0020261,FBtr0074784,down - up,-0.053104646,0.032334763,268,-1.642339086,0.571223227
FBgn0020261,FBtr0074784,control - up,-0.072423703,0.03221326,268,-2.248257461,0.219450664
FBgn0020261,FBtr0302082,down - control,-0.004711489,0.030684158,268,-0.15354794,0.999988041
FBgn0020261,FBtr0302082,down - up,0.006916682,0.030779423,268,0.224717715,0.999920924
FBgn0020261,FBtr0302082,control - up,0.011628171,0.030669413,268,0.379145535,0.998974022
FBgn0031064,FBtr0074788,down - control,-0.472203435,0.206380862,268,-2.288019492,0.20256693
FBgn0031064,FBtr0074788,down - up,0.406495915,0.213398845,268,1.904864646,0.401410646
FBgn0031064,FBtr0074788,control - up,0.87869935,0.211615475,268,4.152339757,0.000626224
FBgn0031064,FBtr0335043,down - control,-0.122217646,0.185460498,268,-0.658995568,0.986143088
FBgn0031064,FBtr0335043,down - up,0.013749454,0.18543309,268,0.074147793,0.999999683
FBgn0031064,FBtr0335043,control - up,0.1359671,0.18650884,268,0.729011559,0.978227679
FBgn0052528,FBtr0074793,down - control,0.042214022,0.169302399,268,0.249340958,0.999867879
FBgn0052528,FBtr0074793,down - up,0.017782761,0.169302479,268,0.105035444,0.999998196
FBgn0052528,FBtr0074793,control - up,-0.024431261,0.170207949,268,-0.143537722,0.999991449
FBgn0052528,FBtr0346042,down - control,-0.030838402,0.171582152,268,-0.179729661,0.999973853
FBgn0052528,FBtr0346042,down - up,-0.107976533,0.17148648,268,-0.62965041,0.988734353
FBgn0052528,FBtr0346042,control - up,-0.077138131,0.172295661,268,-0.447707913,0.997717928
FBgn0031069,FBtr0074795,down - control,0.052608769,0.08206364,405,0.641072814,0.999353735
FBgn0031069,FBtr0074795,down - up,0.078180989,0.08207,405,0.952613487,0.98963572
FBgn0031069,FBtr0074795,control - up,0.02557222,0.0822894,405,0.310759587,0.999997453
FBgn0031069,FBtr0335155,down - control,0.114878276,0.081228968,405,1.414252564,0.892023184
FBgn0031069,FBtr0335155,down - up,0.095586384,0.08123696,405,1.176636644,0.961023236
FBgn0031069,FBtr0335155,control - up,-0.019291892,0.081535623,405,-0.23660691,0.999999703
FBgn0031069,FBtr0335157,down - control,-0.03870131,0.082967912,405,-0.466461175,0.999940581
FBgn0031069,FBtr0335157,down - up,0.078444049,0.083095954,405,0.94401767,0.990237459
FBgn0031069,FBtr0335157,control - up,0.117145359,0.083210952,405,1.407811786,0.894525757
FBgn0052529,FBtr0100839,down - control,0.043734631,0.044692712,268,0.978562941,0.924445338
FBgn0052529,FBtr0100839,down - up,0.016151876,0.044689602,268,0.361423576,0.999186452
FBgn0052529,FBtr0100839,control - up,-0.027582756,0.044838441,268,-0.615158671,0.989872569
FBgn0052529,FBtr0332993,down - control,0.023662114,0.05431856,268,0.435617477,0.997997981
FBgn0052529,FBtr0332993,down - up,-0.017422222,0.054161615,268,-0.321671025,0.999538708
FBgn0052529,FBtr0332993,control - up,-0.041084336,0.05386835,268,-0.762680421,0.973446857
FBgn0261811,FBtr0074804,down - control,0.132465233,0.046056389,268,2.876153285,0.049222147
FBgn0261811,FBtr0074804,down - up,0.011558797,0.045486877,268,0.254112789,0.99985494
FBgn0261811,FBtr0074804,control - up,-0.120906436,0.045790559,268,-2.640422811,0.091267008
FBgn0261811,FBtr0074805,down - control,0.000858443,0.036664174,268,0.023413661,0.999999999
FBgn0261811,FBtr0074805,down - up,0.011078247,0.036733291,268,0.301586029,0.999663468
FBgn0261811,FBtr0074805,control - up,0.010219805,0.036719535,268,0.278320644,0.999773018
FBgn0259789,FBtr0307537,down - control,0.063859558,0.049043811,269,1.302092087,0.783748736
FBgn0259789,FBtr0307537,down - up,0.039326778,0.04900636,269,0.802483141,0.96688995
FBgn0259789,FBtr0307537,control - up,-0.02453278,0.048970829,269,-0.500967226,0.996107969
FBgn0259789,FBtr0345014,down - control,0.065695748,0.144208863,269,0.455559713,0.9975206
FBgn0259789,FBtr0345014,down - up,-0.121031958,0.138467654,269,-0.874081089,0.952402024
FBgn0259789,FBtr0345014,control - up,-0.186727706,0.137554877,269,-1.3574779,0.752306282
FBgn0042132,FBtr0074810,down - control,0.093124229,0.1477775,540,0.63016514,0.999972871
FBgn0042132,FBtr0074810,down - up,0.044302446,0.147671133,540,0.300007493,0.999999989
FBgn0042132,FBtr0074810,control - up,-0.048821783,0.148275151,540,-0.329264767,0.999999971
FBgn0042132,FBtr0074811,down - control,-0.076860849,0.14636109,540,-0.52514537,0.999995844
FBgn0042132,FBtr0074811,down - up,-0.048719936,0.146375172,540,-0.332842895,0.999999967
FBgn0042132,FBtr0074811,control - up,0.028140913,0.146998509,540,0.191436723,1
FBgn0042132,FBtr0331746,down - control,-0.154463038,0.147202497,540,-1.049323487,0.996428923
FBgn0042132,FBtr0331746,down - up,-0.053089302,0.147237325,540,-0.360569591,0.999999922
FBgn0042132,FBtr0331746,control - up,0.101373736,0.147638587,540,0.686634423,0.99993555
FBgn0042132,FBtr0331747,down - control,-0.123855206,0.156013244,540,-0.793876228,0.999730777
FBgn0042132,FBtr0331747,down - up,0.115173233,0.157340726,540,0.731998867,0.999878267
FBgn0042132,FBtr0331747,control - up,0.239028439,0.153263155,540,1.559594929,0.92258803
FBgn0040089,FBtr0074812,down - control,0.139550491,0.185236795,540,0.753362692,0.999838428
FBgn0040089,FBtr0074812,down - up,-0.026765377,0.18515773,540,-0.14455447,1
FBgn0040089,FBtr0074812,control - up,-0.166315868,0.186300274,540,-0.892730129,0.999176659
FBgn0040089,FBtr0301703,down - control,0.188006496,0.191251177,540,0.983034456,0.99800272
FBgn0040089,FBtr0301703,down - up,0.164049321,0.191176204,540,0.858105338,0.99943267
FBgn0040089,FBtr0301703,control - up,-0.023957175,0.192547652,540,-0.124422057,1
